GeneID	Method	xFPKM	o12Ortho	o3ProtHomology	o3Species	o4GenomHomol	o5KaKs	g1GenoMap	gGenoCov	p12Complete	p3CDS	p4CodePot	tClass	t1aOneExon
Funhe2EKm006557t1	gmodel	1	orlog	54%	platyfish	60	0.012	okay	100	complete	33	Code	CodingOld	0
Funhe2EKm006558t1	v1mix	7	orlog	93%	platyfish	92	0.092	okay	99	complete	76	Code	CodingOld	0
Funhe2EKm006559t1	rnasm	0.6	noor	0	na	63	NA	part	78	complete	77	Code	CodingOld	0
Funhe2EKm006560t1	rnasm	0.7	noor	0	na	69	NA	okay	98	partial	99	Code	CodingOld	1
Funhe2EKm006561t1	rnasm	2	noor	0	na	82	0.541	okay	94	partial	99	Unknown	CodingOld	1
Funhe2EKm006563t1	rnasm	80	noor	82%	tetraodon	76	NA	okay	100	complete	85	Code	CodingOld	0
Funhe2EKm006564t1	rnasm	100	noor	0	na	89	0.422	okay	80	complete	79	Code	CodingOld	0
Funhe2EKm006565t1	rnasm	500	noor	77%	platyfish	60	0.250	part	59	complete	87	Code	CodingOld	0
Funhe2EKm006566t1	rnasm	600	noor	0	na	33	5.342	split	75	partial	74	Code	CodingOld	0
Funhe2EKm006567t1	rnasm	3	noor	94%	platyfish	88	NA	okay	82	partial	52	Code	CodingOld	0
Funhe2EKm006568t1	gmodel	4	orlog	44%	catfish	24	0.382	okay	100	complete	33	Code	CodingOld	0
Funhe2EKm006569t1	rnasm	0.9	orlog	100%	platyfish	100	0.077	okay	100	complete	38	Code	CodingOld	0
Funhe2EKm006570t1	rnasm	20	orlog	95%	platyfish	100	0.120	okay	93	complete	64	Code	CodingOld	0
Funhe2EKm006571t1	rnasm	4	orlog	100%	platyfish	100	0.124	okay	84	complete	77	Code	CodingOld	0
Funhe2EKm006572t1	rnasm	0.9	orlog	100%	mayzebr	100	0.468	okay	100	complete	76	Code	CodingOld	0
Funhe2EKm006573t1	rnasm	10	inpar	100%	platyfish	100	NA	okay	97	complete	83	Code	CodingOld	0
Funhe2EKm006574t1	rnasm	0.5	orlog	31%	platyfish	100	0.236	okay	100	partial	99	Code	CodingOld	1
Funhe2EKm006575t1	rnasm	100	orlog	100%	platyfish	100	0.037	okay	92	complete	61	Code	CodingOld	0
Funhe2EKm006576t1	rnasm	40	orlog	99%	platyfish	97	0.178	okay	100	partial	99	Code	CodingOld	0
Funhe2EKm006577t1	rnasm	600	orlog	100%	platyfish	100	0.094	okay	88	complete	59	Code	CodingOld	0
Funhe2EKm006578t1	rnasm	10	orlog	96%	platyfish	100	0.033	okay	91	complete	81	Code	CodingOld	0
Funhe2EKm006579t1	gmodel	20	orlog	100%	tilapia	87	0.043	okay	100	complete	75	Code	CodingOld	0
Funhe2EKm006580t1	rnasm	5	orlog	100%	mayzebr	99	0.162	okay	90	complete	80	Code	CodingOld	0
Funhe2EKm006581t1	rnasm	3	orlog	100%	platyfish	100	0.008	okay	100	complete	75	Code	CodingOld	0
Funhe2EKm006582t1	rnasm	10	orlog	100%	platyfish	100	0.037	okay	100	complete	78	Code	CodingOld	0
Funhe2EKm006583t1	rnasm	30	orlog	100%	platyfish	100	0.063	okay	100	complete	84	Code	CodingOld	0
Funhe2EKm006584t1	rnasm	300	noor	0	na	26	NA	okay	81	partial	69	Noncode	NoncodeOld	0
Funhe2EKm006585t1	rnasm	400	noor	0	na	50	NA	okay	100	partial	70	Code	CodingOld	0
Funhe2EKm006586t1	gmodel	7	orlog	100%	platyfish	99	0.386	okay	100	complete	67	Code	CodingOld	0
Funhe2EKm006587t1	rnasm	3	orlog	58%	mayzebr	55	0.152	okay	84	partial	71	Code	CodingOld	0
Funhe2EKm006588t1	v1mix	0.4	orlog	100%	platyfish	97	0.141	okay	100	complete	60	Code	CodingOld	0
Funhe2EKm006589t1	gmodel	1	orlog	100%	mayzebr	100	0.175	okay	100	complete	74	Code	CodingOld	1
Funhe2EKm006590t1	rnasm	10	orlog	97%	platyfish	90	0.197	okay	87	partial	99	Code	CodingOld	0
Funhe2EKm006591t1	rnasm	2	orlog	100%	platyfish	94	0.151	split	100	complete	73	Code	CodingOld	0
Funhe2EKm006592t1	rnasm	100	inpar	96%	medaka	93	NA	split	93	complete	68	Code	CodingOld	0
Funhe2EKm006593t1	rnasm	1	orlog	100%	platyfish	92	0.030	okay	93	complete	65	Code	CodingOld	0
Funhe2EKm006594t1	rnasm	20	orlog	100%	catfish	100	0.081	okay	100	complete	86	Code	CodingOld	0
Funhe2EKm006595t1	gmodel	0.5	orlog	100%	platyfish	45	NA	okay	100	complete	46	Code	CodingOld	0
Funhe2EKm006596t1	rnasm	20	orlog	50%	platyfish	100	0.039	okay	82	complete	74	Code	CodingOld	0
Funhe2EKm006597t1	gmodel	7	orlog	100%	platyfish	35	0.190	okay	100	complete	37	Code	CodingOld	0
Funhe2EKm006598t1	rnasm	7	orlog	100%	platyfish	100	0.094	okay	100	complete	69	Code	CodingOld	0
Funhe2EKm006599t1	rnasm	100	inpar	96%	medaka	79	NA	part	79	complete	86	Code	CodingOld	0
Funhe2EKm006600t1	rnasm	7	orlog	100%	platyfish	100	0.017	okay	100	complete	81	Code	CodingOld	0
Funhe2EKm006601t1	rnasm	50	orlog	96%	platyfish	100	0.078	split	97	partial	92	Code	CodingOld	0
Funhe2EKm006602t1	rnasm	30	orlog	100%	platyfish	100	0.063	okay	99	complete	96	Code	CodingOld	0
Funhe2EKm006603t1	rnasm	10	orlog	100%	tilapia	100	0.115	okay	100	complete	79	Code	CodingOld	0
Funhe2EKm006604t1	rnasm	2	orlog	98%	platyfish	97	0.017	okay	98	partial	99	Code	CodingOld	0
Funhe2EKm006605t1	rnasm	7	orlog	100%	platyfish	100	0.153	okay	99	complete	68	Code	CodingOld	0
Funhe2EKm006606t1	v1mix	0.7	noor	8%	catfish	9	NA	okay	100	complete	84	Noncode	NoncodeNew	0
Funhe2EKm006607t1	rnasm	7	noor	88%	platyfish	100	0.281	okay	93	complete	66	Code	CodingOld	0
Funhe2EKm006608t1	v1mix	0.7	orlog	87%	platyfish	86	0.166	okay	100	complete	41	Unknown	CodingOld	0
Funhe2EKm006609t1	rnasm	10	orlog	100%	mayzebr	100	0.102	okay	94	complete	91	Code	CodingOld	0
Funhe2EKm006611t1	rnasm	30	orlog	100%	platyfish	100	0.155	okay	97	complete	75	Code	CodingOld	0
Funhe2EKm006612t1	rnasm	1	inpar	89%	stickleback	70	NA	part	55	complete	43	Code	CodingOld	1
Funhe2EKm006613t1	rnasm	0.8	noor	47%	platyfish	100	0.123	okay	100	partial	86	Code	CodingOld	0
Funhe2EKm006614t1	rnasm	1	noor	18%	tilapia	69	0.226	okay	100	partial	100	Noncode	CodingOld	1
Funhe2EKm006615t1	rnasm	30	orlog	100%	platyfish	97	0.131	okay	100	complete	70	Code	CodingOld	0
Funhe2EKm006616t1	rnasm	7	inpar	100%	mayzebr	100	NA	part	79	partial	67	Code	CodingOld	0
Funhe2EKm006617t1	rnasm	20	orlog	100%	platyfish	100	0.071	okay	100	complete	31	Code	CodingOld	0
Funhe2EKm006618t1	gmodel	3	noor	0	na	56	NA	okay	100	complete	5	Noncode	NoncodeOld	0
Funhe2EKm006619t1	rnasm	10	inpar	95%	mayzebr	78	NA	okay	83	complete	78	Code	CodingOld	0
Funhe2EKm006620t1	v1mix	10	inpar	40%	mayzebr	34	NA	okay	100	complete	55	Code	CodingOld	0
Funhe2EKm006621t1	rnasm	5	orlog	100%	platyfish	100	0.091	okay	96	complete	65	Code	CodingOld	0
Funhe2EKm006622t1	rnasm	30	orlog	100%	mayzebr	100	0.092	okay	98	complete	95	Code	CodingOld	0
Funhe2EKm006623t1	rnasm	20	orlog	99%	platyfish	100	0.037	okay	95	complete	65	Code	CodingOld	0
Funhe2EKm006624t1	rnasm	9	orlog	100%	platyfish	99	0.170	okay	100	complete	98	Code	CodingOld	0
Funhe2EKm006625t1	rnasm	10	orlog	100%	platyfish	68	0.347	part	79	complete	71	Code	CodingOld	0
Funhe2EKm006626t1	rnasm	8	orlog	100%	mayzebr	100	0.071	okay	100	complete	76	Code	CodingOld	0
Funhe2EKm006627t1	rnasm	2	orlog	100%	platyfish	100	0.122	okay	82	complete	57	Code	CodingOld	0
Funhe2EKm006628t1	rnasm	10	orlog	100%	platyfish	100	0.062	okay	96	complete	68	Code	CodingOld	0
Funhe2EKm006629t1	rnasm	10	noor	0	na	100	NA	okay	92	complete	62	Code	CodingOld	0
Funhe2EKm006630t1	rnasm	10	orlog	100%	platyfish	100	0.036	okay	88	complete	63	Code	CodingOld	0
Funhe2EKm006631t1	rnasm	10	orlog	98%	platyfish	100	0.094	split	100	complete	76	Code	CodingOld	0
Funhe2EKm006632t1	rnasm	5	orlog	100%	platyfish	100	0.203	okay	100	complete	72	Code	CodingOld	0
Funhe2EKm006633t1	v1mix	10	orlog	100%	platyfish	81	0.219	split	100	complete	0	Code	CodingOld	0
Funhe2EKm006634t1	rnasm	10	noor	85%	platyfish	100	0.079	part	68	complete	35	Code	CodingOld	0
Funhe2EKm006635t1	rnasm	1	orlog	100%	platyfish	100	0.150	okay	100	complete	88	Code	CodingOld	0
Funhe2EKm006636t1	gmodel	0.6	noor	13%	tetraodon	60	0.274	okay	100	complete	66	Noncode	CodingOld	0
Funhe2EKm006637t1	rnasm	2	upar	43%	stickleback	74	0.282	split	41	complete	70	Code	CodingOld	0
Funhe2EKm006638t1	gmodel	2	upar	34%	tetraodon	56	0.549	okay	100	complete	64	Code	CodingOld	0
Funhe2EKm006639t1	rnasm	2	upar	39%	tetraodon	66	0.386	part	37	complete	16	Code	CodingOld	1
Funhe2EKm006640t1	rnasm	10	orlog	100%	mayzebr	100	0.069	okay	100	complete	49	Code	CodingOld	0
Funhe2EKm006642t1	v1mix	8	noor	48%	mayzebr	100	0.127	okay	100	complete	80	Code	CodingOld	1
Funhe2EKm006643t1	rnasm	10	orlog	96%	platyfish	100	0.154	okay	93	complete	67	Code	CodingOld	0
Funhe2EKm006644t1	gmodel	50	noor	64%	catfish	38	0.335	okay	100	complete	85	Code	Transposon	0
Funhe2EKm006645t1	rnasm	20	orlog	98%	tetraodon	100	0.175	okay	100	complete	71	Code	CodingOld	0
Funhe2EKm006647t1	rnasm	70	orlog	100%	medaka	100	0.010	okay	100	complete	65	Code	CodingOld	0
Funhe2EKm006653t1	v1mix	300	orlog	100%	platyfish	99	0.155	okay	100	complete	33	Code	CodingOld	0
Funhe2EKm006654t1	gmodel	1	noor	23%	mayzebr	72	0.188	okay	100	complete	72	Code	CodingOld	0
Funhe2EKm006655t1	rnasm	6	orlog	99%	platyfish	99	0.490	part	72	complete	68	Code	CodingOld	0
Funhe2EKm006657t1	gmodel	5	noor	14%	platyfish	34	0.117	okay	100	complete	11	Noncode	CodingOld	0
Funhe2EKm006658t1	rnasm	10	orlog	100%	platyfish	100	0.144	okay	100	complete	72	Code	CodingOld	0
Funhe2EKm006659t1	rnasm	10	orlog	100%	platyfish	81	0.171	part	63	complete	93	Code	CodingOld	0
Funhe2EKm006660t1	rnasm	50	orlog	100%	platyfish	88	0.024	okay	90	complete	50	Code	CodingOld	0
Funhe2EKm006661t1	rnasm	40	orlog	100%	platyfish	100	0.241	okay	100	complete	54	Code	CodingOld	0
Funhe2EKm006662t1	rnasm	60	noor	0	na	0	NA	part	57	partial	100	Noncode	NoncodeNew	1
Funhe2EKm006663t1	v1mix	10	noor	11%	platyfish	88	0.046	okay	100	complete	49	Code	CodingOld	0
Funhe2EKm006664t1	rnasm	20	orlog	99%	platyfish	99	0.095	part	57	complete	61	Code	CodingOld	0
Funhe2EKm006665t1	rnasm	10	orlog	100%	platyfish	100	0.134	okay	100	complete	77	Code	CodingOld	0
Funhe2EKm006668t1	rnasm	30	orlog	96%	mayzebr	100	0.055	okay	84	complete	19	Code	CodingOld	0
Funhe2EKm006669t1	rnasm	30	orlog	100%	platyfish	100	0.094	okay	99	complete	87	Code	CodingOld	0
Funhe2EKm006670t1	rnasm	20	orlog	95%	platyfish	92	0.140	part	68	complete	85	Code	CodingOld	0
Funhe2EKm006671t1	rnasm	10	orlog	100%	tilapia	100	0.086	okay	100	complete	73	Code	CodingOld	0
Funhe2EKm006672t1	rnasm	10	orlog	100%	tilapia	96	0.039	okay	81	complete	51	Code	CodingOld	0
Funhe2EKm006673t1	rnasm	20	noor	0	na	0	NA	okay	100	partial	99	Noncode	NoncodeNew	1
Funhe2EKm006674t1	rnasm	20	inpar	95%	tilapia	94	NA	split	100	partial	87	Code	CodingOld	0
Funhe2EKm006675t1	rnasm	10	orlog	96%	tilapia	100	0.034	okay	97	complete	80	Code	CodingOld	0
Funhe2EKm006676t1	rnasm	9	noor	0	na	97	NA	okay	100	partial	69	Code	CodingOld	0
Funhe2EKm006677t1	rnasm	2	orlog	100%	mayzebr	94	0.086	okay	91	complete	70	Code	CodingOld	0
Funhe2EKm006678t1	rnasm	10	orlog	95%	mayzebr	100	0.177	okay	92	complete	44	Code	CodingOld	0
Funhe2EKm006679t1	rnasm	0.7	noor	0	na	24	NA	part	69	complete	83	Code	Transposon	0
Funhe2EKm006680t1	rnasm	0.7	orlog	100%	mayzebr	84	0.152	okay	100	complete	67	Code	CodingOld	0
Funhe2EKm006681t1	rnasm	20	orlog	100%	platyfish	100	0.133	okay	99	complete	65	Code	CodingOld	0
Funhe2EKm006682t1	rnasm	100	orlog	100%	platyfish	100	0.014	okay	96	complete	87	Code	CodingOld	0
Funhe2EKm006683t1	rnasm	4	orlog	90%	mayzebr	67	0.656	okay	88	complete	92	Code	CodingOld	0
Funhe2EKm006684t1	rnasm	4	orlog	66%	tilapia	100	0.357	okay	93	complete	90	Code	CodingOld	0
Funhe2EKm006685t1	v1mix	5	noor	27%	platyfish	65	NA	okay	100	partial	30	Noncode	CodingOld	0
Funhe2EKm006686t1	rnasm	3	orlog	100%	mayzebr	98	0.134	okay	81	complete	80	Code	CodingOld	0
Funhe2EKm006687t1	rnasm	10	orlog	87%	platyfish	99	0.175	okay	99	partial	84	Code	CodingOld	0
Funhe2EKm006688t1	gmodel	8	noor	32%	platyfish	22	0.171	okay	100	complete	14	Unknown	CodingOld	0
Funhe2EKm006689t1	rnasm	3	upar	33%	zfish	29	0.059	okay	100	partial	99	Unknown	CodingOld	1
Funhe2EKm006690t1	v1mix	1000	orlog	100%	platyfish	95	0.027	okay	100	complete	77	Code	CodingOld	0
Funhe2EKm006691t1	rnasm	10	orlog	100%	platyfish	100	0.124	okay	95	complete	82	Code	CodingOld	0
Funhe2EKm006692t1	rnasm	40	inpar	93%	mayzebr	97	NA	part	57	complete	59	Code	CodingOld	0
Funhe2EKm006693t1	rnasm	5	orlog	96%	platyfish	100	0.552	part	67	complete	94	Code	CodingOld	0
Funhe2EKm006694t1	gmodel	0.1	upar	0	na	30	NA	okay	100	complete	27	Code	CodingOld	0
Funhe2EKm006695t1	rnasm	3	inpar	100%	platyfish	87	NA	okay	82	complete	85	Code	CodingOld	0
Funhe2EKm006697t1	rnasm	5	inpar	98%	platyfish	96	NA	okay	100	complete	73	Code	CodingOld	0
Funhe2EKm006698t1	gmodel	5	inpar	98%	platyfish	60	NA	okay	100	complete	53	Code	CodingOld	0
Funhe2EKm006699t1	v1mix	0.6	orlog	58%	mayzebr	64	0.077	okay	100	complete	65	Unknown	CodingOld	0
Funhe2EKm006700t1	rnasm	7000	orlog	100%	platyfish	100	0.112	split	96	complete	74	Code	CodingOld	0
Funhe2EKm006701t1	rnasm	8	inpar	72%	medaka	61	NA	okay	100	complete	83	Code	Transposon	1
Funhe2EKm006702t1	v1mix	20	orlog	90%	mayzebr	82	0.327	okay	100	complete	65	Code	CodingOld	0
Funhe2EKm006703t1	rnasm	5000	orlog	100%	platyfish	100	0.107	okay	96	complete	72	Code	CodingOld	0
Funhe2EKm006704t1	gmodel	4	orlog	100%	platyfish	95	0.071	okay	100	complete	68	Code	CodingOld	0
Funhe2EKm006705t1	rnasm	0.4	noor	0	na	27	NA	part	21	partial	39	Noncode	Transposon	1
Funhe2EKm006706t1	gmodel	9	inpar	97%	zfish	13	NA	okay	100	complete	64	Code	CodingOld	0
Funhe2EKm006708t1	v1mix	0.1	orlog	100%	mayzebr	66	0.078	split	88	complete	81	Code	CodingOld	0
Funhe2EKm006709t1	gmodel	0.1	noor	64%	mayzebr	64	0.070	okay	100	complete	72	Code	CodingOld	0
Funhe2EKm006710t1	rnasm	2	orlog	100%	platyfish	88	0.169	part	66	complete	95	Code	CodingOld	0
Funhe2EKm006711t1	v1mix	100	upar	32%	mayzebr	84	NA	okay	100	partial	42	Noncode	CodingOld	1
Funhe2EKm006712t1	rnasm	4	orlog	100%	tilapia	90	0.625	okay	94	complete	66	Code	CodingOld	0
Funhe2EKm006713t1	rnasm	100	noor	49%	mayzebr	100	0.245	split	64	partial	47	Code	CodingOld	1
Funhe2EKm006714t1	rnasm	10	upar	97%	catfish	0	NA	okay	98	partial	99	Noncode	CodingOld	0
Funhe2EKm006715t1	rnasm	1	orlog	100%	medaka	100	0.313	okay	99	complete	10	Code	CodingOld	0
Funhe2EKm006716t1	rnasm	1	orlog	100%	platyfish	96	0.139	okay	94	complete	59	Code	CodingOld	0
Funhe2EKm006717t1	rnasm	80	orlog	100%	platyfish	91	0.027	okay	99	complete	63	Code	CodingOld	0
Funhe2EKm006718t1	rnasm	30	orlog	100%	mayzebr	98	0.077	okay	85	complete	64	Code	CodingOld	0
Funhe2EKm006719t1	rnasm	2	orlog	100%	platyfish	95	0.096	okay	100	complete	93	Code	CodingOld	0
Funhe2EKm006720t1	rnasm	10	orlog	100%	platyfish	100	0.060	okay	100	complete	64	Code	CodingOld	0
Funhe2EKm006721t1	rnasm	30	orlog	97%	platyfish	100	0.013	okay	100	complete	66	Code	CodingOld	0
Funhe2EKm006722t1	rnasm	0.7	upar	46%	platyfish	85	0.262	split	17	partial	67	Code	CodingOld	1
Funhe2EKm006724t1	rnasm	3	upar	0	na	0	NA	okay	100	complete	12	Code	CodingNew	0
Funhe2EKm006725t1	rnasm	10	orlog	92%	platyfish	93	0.105	part	67	complete	88	Code	CodingOld	0
Funhe2EKm006726t1	rnasm	0.7	noor	22%	mayzebr	90	0.215	okay	100	partial	93	Code	CodingOld	0
Funhe2EKm006729t1	rnasm	10	noor	29%	medaka	58	0.146	okay	90	partial	99	Noncode	Transposon	0
Funhe2EKm006730t1	rnasm	0.4	noor	0	na	39	NA	okay	98	partial	95	Noncode	NoncodeOld	1
Funhe2EKm006733t1	rnasm	0.8	upar	0	na	0	NA	part	78	partial	95	Code	CodingNew	0
Funhe2EKm006734t1	rnasm	2	orlog	100%	tilapia	100	0.033	part	77	complete	65	Code	CodingOld	0
Funhe2EKm006736t1	gmodel	0.4	noor	0	na	5	NA	okay	100	complete	10	Code	CodingNew	0
Funhe2EKm006738t1	gmodel	10	inpar	5%	mayzebr	20	NA	okay	100	complete	64	Unknown	Transposon	0
Funhe2EKm006739t1	rnasm	1	orlog	89%	stickleback	67	0.058	part	33	complete	77	Code	CodingOld	1
Funhe2EKm006741t1	rnasm	0.9	upar	22%	catfish	0	NA	part	26	complete	59	Code	CodingOld	1
Funhe2EKm006742t1	rnasm	5	upar	44%	catfish	53	0.212	split	100	partial	99	Code	Transposon	1
Funhe2EKm006743t1	rnasm	6	upar	44%	catfish	52	0.212	split	100	partial	98	Code	Transposon	1
Funhe2EKm006751t1	v1mix	10	orlog	100%	tilapia	83	0.057	okay	100	complete	48	Code	CodingOld	0
Funhe2EKm006752t1	rnasm	0.7	noor	32%	catfish	0	NA	okay	88	partial	99	Noncode	CodingOld	0
Funhe2EKm006753t1	rnasm	6	orlog	75%	catfish	0	NA	okay	95	partial	99	Code	CodingOld	0
Funhe2EKm006754t1	rnasm	40	orlog	100%	tilapia	97	0.151	okay	81	complete	71	Code	CodingOld	0
Funhe2EKm006755t1	rnasm	40	orlog	91%	tilapia	94	0.124	split	100	complete	95	Code	CodingOld	0
Funhe2EKm006756t1	rnasm	3	noor	0	na	0	NA	part	67	partial	50	Code	CodingNew	0
Funhe2EKm006757t1	rnasm	4	orlog	100%	mayzebr	77	0.109	split	98	complete	75	Code	CodingOld	0
Funhe2EKm006758t1	v1mix	5	inpar	74%	mayzebr	45	NA	okay	100	complete	41	Code	CodingOld	0
Funhe2EKm006759t1	rnasm	7	inpar	100%	mayzebr	91	NA	part	70	complete	55	Code	CodingOld	0
Funhe2EKm006761t1	rnasm	10	orlog	100%	platyfish	100	0.025	okay	100	complete	70	Code	CodingOld	0
Funhe2EKm006762t1	rnasm	2	orlog	100%	mayzebr	100	0.017	okay	98	complete	23	Code	CodingOld	0
Funhe2EKm006763t1	rnasm	10	noor	20%	tilapia	64	0.203	okay	100	partial	82	Code	CodingOld	1
Funhe2EKm006764t1	rnasm	6	orlog	100%	tilapia	98	0.095	okay	89	complete	80	Code	CodingOld	0
Funhe2EKm006765t1	rnasm	10	orlog	100%	platyfish	100	0.080	okay	94	complete	90	Code	CodingOld	0
Funhe2EKm006766t1	gmodel	10	orlog	100%	platyfish	79	0.572	okay	100	complete	51	Code	CodingOld	0
Funhe2EKm006767t1	v1mix	1	orlog	100%	platyfish	97	0.430	okay	100	complete	72	Code	CodingOld	0
Funhe2EKm006768t1	rnasm	1	orlog	100%	mayzebr	100	0.322	okay	100	complete	74	Code	CodingOld	0
Funhe2EKm006769t1	rnasm	40	inpar	100%	medaka	100	NA	part	18	complete	99	Code	CodingOld	0
Funhe2EKm006770t1	rnasm	3	orlog	100%	platyfish	100	0.062	okay	84	complete	88	Code	CodingOld	0
Funhe2EKm006771t1	rnasm	1	noor	0	na	100	0.424	okay	100	partial	57	Code	CodingOld	0
Funhe2EKm006773t1	rnasm	0.5	orlog	37%	mayzebr	100	0.293	okay	100	complete	43	Code	CodingOld	0
Funhe2EKm006775t1	v1mix	0.4	orlog	20%	mayzebr	100	0.306	okay	100	partial	99	Code	CodingOld	0
Funhe2EKm006776t1	rnasm	0.3	orlog	13%	mayzebr	100	0.181	okay	100	partial	80	Code	CodingOld	0
Funhe2EKm006777t1	rnasm	90	orlog	100%	platyfish	100	0.061	okay	82	partial	89	Code	CodingOld	0
Funhe2EKm006778t1	rnasm	60	inpar	100%	platyfish	70	NA	part	62	complete	1	Code	CodingOld	1
Funhe2EKm006779t1	rnasm	0.6	orlog	93%	tilapia	74	0.342	okay	100	partial	67	Code	CodingOld	0
Funhe2EKm006780t1	rnasm	0.3	noor	24%	mayzebr	94	0.372	okay	100	partial	99	Code	CodingOld	0
Funhe2EKm006781t1	rnasm	0.6	orlog	63%	mayzebr	97	0.318	okay	100	partial	83	Code	CodingOld	0
Funhe2EKm006782t1	rnasm	7	orlog	99%	platyfish	98	0.246	okay	86	complete	85	Code	CodingOld	0
Funhe2EKm006783t1	rnasm	7	noor	0	na	18	NA	okay	92	partial	49	Noncode	NoncodeNew	1
Funhe2EKm006784t1	rnasm	4	orlog	100%	platyfish	97	0.086	okay	97	complete	85	Code	CodingOld	0
Funhe2EKm006785t1	rnasm	2	orlog	100%	platyfish	94	0.426	okay	100	complete	96	Code	CodingOld	0
Funhe2EKm006786t1	rnasm	6	orlog	99%	platyfish	100	0.367	okay	100	complete	79	Code	CodingOld	0
Funhe2EKm006788t1	rnasm	4	orlog	95%	platyfish	100	0.211	okay	100	complete	41	Code	CodingOld	0
Funhe2EKm006789t1	rnasm	3	orlog	100%	platyfish	95	0.039	okay	86	partial	88	Code	CodingOld	0
Funhe2EKm006790t1	gmodel	1	orlog	30%	mayzebr	89	0.526	okay	100	complete	59	Code	CodingOld	0
Funhe2EKm006793t1	rnasm	4	orlog	100%	tilapia	100	0.529	okay	87	complete	61	Code	CodingOld	0
Funhe2EKm006794t1	rnasm	10	orlog	100%	mayzebr	100	0.299	okay	99	complete	60	Code	CodingOld	0
Funhe2EKm006795t1	rnasm	7	orlog	100%	platyfish	97	0.258	okay	98	complete	93	Code	CodingOld	0
Funhe2EKm006796t1	rnasm	10	orlog	100%	platyfish	99	0.043	okay	100	complete	93	Code	CodingOld	0
Funhe2EKm006797t1	rnasm	7	orlog	99%	platyfish	100	0.072	okay	96	complete	94	Code	CodingOld	0
Funhe2EKm006798t1	rnasm	10	orlog	100%	medaka	99	0.097	okay	94	complete	51	Code	CodingOld	0
Funhe2EKm006799t1	rnasm	90	orlog	100%	platyfish	100	0.009	okay	100	complete	76	Code	CodingOld	0
Funhe2EKm006800t1	rnasm	20	orlog	98%	platyfish	97	0.446	okay	90	complete	81	Code	CodingOld	0
Funhe2EKm006801t1	gmodel	0.5	inpar	79%	platyfish	94	NA	okay	100	complete	83	Code	CodingOld	0
Funhe2EKm006808t1	gmodel	0.7	noor	70%	medaka	42	0.316	okay	100	complete	74	Code	Transposon	0
Funhe2EKm006809t1	rnasm	0.5	inpar	13%	zfish	100	NA	okay	100	complete	64	Noncode	Transposon	1
Funhe2EKm006811t1	rnasm	0.4	upar	13%	mayzebr	39	0.239	okay	100	partial	15	Noncode	Transposon	1
Funhe2EKm006815t1	rnasm	3	orlog	100%	tilapia	95	0.056	part	70	complete	49	Code	CodingOld	0
Funhe2EKm006816t1	rnasm	2	upar	0	na	0	NA	part	54	partial	100	Code	CodingNew	1
Funhe2EKm006821t1	v1mix	0.4	orlog	10%	zfish	42	0.023	okay	100	complete	12	Code	CodingOld	0
Funhe2EKm006825t1	rnasm	0.3	noor	28%	tilapia	68	0.179	part	77	complete	82	Code	CodingOld	0
Funhe2EKm006829t1	rnasm	30	orlog	100%	mayzebr	100	0.319	part	77	complete	71	Code	CodingOld	0
Funhe2EKm006830t1	gmodel	0.8	noor	12%	mayzebr	97	0.084	okay	100	complete	33	Noncode	CodingOld	0
Funhe2EKm006831t1	rnasm	9	orlog	100%	stickleback	100	0.029	okay	96	complete	39	Code	CodingOld	0
Funhe2EKm006832t1	rnasm	5	orlog	100%	catfish	100	0.191	okay	98	complete	32	Code	CodingOld	0
Funhe2EKm006833t1	rnasm	7	orlog	100%	platyfish	100	0.114	okay	92	complete	84	Code	CodingOld	0
Funhe2EKm006834t1	rnasm	1	orlog	100%	mayzebr	100	0.281	okay	99	complete	87	Code	CodingOld	0
Funhe2EKm006835t1	rnasm	7	orlog	100%	platyfish	100	0.140	part	59	complete	86	Code	CodingOld	0
Funhe2EKm006836t1	rnasm	6	noor	64%	catfish	30	NA	okay	96	partial	65	Code	CodingOld	1
Funhe2EKm006837t1	rnasm	8	orlog	100%	platyfish	99	0.107	okay	100	complete	86	Code	CodingOld	0
Funhe2EKm006838t1	rnasm	30	orlog	100%	platyfish	96	0.132	okay	86	complete	95	Code	CodingOld	0
Funhe2EKm006840t1	rnasm	10	orlog	97%	platyfish	75	0.317	okay	83	complete	73	Code	CodingOld	0
Funhe2EKm006841t1	rnasm	3	orlog	100%	UniProt	100	0.109	okay	92	complete	90	Code	CodingOld	0
Funhe2EKm006842t1	rnasm	30	orlog	100%	platyfish	100	0.099	part	70	complete	60	Code	CodingOld	0
Funhe2EKm006844t1	rnasm	10	orlog	100%	mayzebr	85	0.462	okay	100	complete	76	Code	CodingOld	0
Funhe2EKm006845t1	rnasm	1	noor	25%	tilapia	71	1.931	okay	91	partial	99	Code	Transposon	1
Funhe2EKm006846t1	rnasm	0.5	inpar	39%	tilapia	97	NA	okay	100	complete	51	Code	Transposon	1
Funhe2EKm006848t1	rnasm	20	inpar	58%	tilapia	67	NA	part	45	complete	99	Code	CodingOld	0
Funhe2EKm006849t1	v1mix	20	orlog	86%	tilapia	76	0.363	okay	100	complete	72	Code	Transposon	0
Funhe2EKm006852t1	rnasm	1	orlog	90%	mayzebr	78	0.390	okay	85	complete	58	Code	CodingOld	0
Funhe2EKm006854t1	v1mix	0.9	upar	68%	tilapia	50	0.178	okay	100	complete	34	Code	Transposon	0
